"","CI22","CI23","CI24","CI26","CI27","CI28","CI29","CI38","CI40","CI41","CI42","CI43","CI44","CI45","CI46","CI47","CI48","CI49","CI50","CI51","CI52","CI68","CI69","CI70","CI71","CI72","CI73","CI74","CI75","CI76","CI77","CI78","CI79","CI80","CI81","CI82","CI83","CI84","CI85","CI86","CI87","HI10","HI11","HI12","HI13","HI6","HI7","HI8","HI9"
"Label","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","HS","HS","HS","HS","HS","HS","HS","HS"
"A0A0A0MS15","3.096370","3.061898","3.084347","3.189267","3.117130","3.111968","3.111468","3.105615","3.118626","3.125583","3.117130","3.111134","3.043649","3.094514","3.123764","3.079749","3.115966","3.061034","3.092148","3.069993","3.145930","3.018952","3.060689","3.093162","3.071023","3.076162","3.098392","3.035933","3.042424","3.019486","3.054452","3.137596","2.981827","3.118626","3.081113","3.071194","3.064141","3.101420","3.107624","3.143484","3.068274","3.075307","3.052194","3.051846","3.050802","3.103100","3.094176","3.068446","3.001230"
"A0A0B4J1U7","3.173528","3.039094","3.010566","3.261584","3.064486","3.127235","3.147233","3.161489","3.219776","3.113635","3.073595","3.066898","2.990200","3.043649","3.139398","3.141361","3.025520","3.067242","3.170808","3.145442","3.253440","3.066726","3.163100","3.034173","3.116798","3.118294","3.159553","2.998525","2.980183","3.036108","3.048189","3.176083","2.984563","3.150973","3.136777","3.070851","3.033821","3.034173","3.163422","3.156645","3.092824","3.128390","3.025166","3.074280","3.092993","3.164870","3.138088","3.080772","3.162133"
"A0A0B4J1X5","3.228574","3.096707","3.093500","3.319222","3.134151","3.139398","3.156645","3.110466","3.169205","3.161650","3.148372","3.114635","3.081283","3.073595","3.164226","3.189267","3.119953","3.148210","3.182611","3.224568","3.225493","3.135464","3.150161","3.124426","3.165031","3.131520","3.119788","3.118792","3.146582","3.087235","3.170487","3.172888","3.112635","3.143484","3.171128","3.166156","3.112469","3.127565","3.150486","3.217297","3.057227","3.096539","3.082135","2.982192","3.023216","3.148210","3.104274","3.125418","3.102596"
"A0A0B4J1Y9","3.146745","3.132836","3.120119","3.261434","3.146419","3.181975","3.237012","3.153730","3.184516","3.236553","3.207962","3.196680","3.120617","3.110967","3.175285","3.161489","3.183087","3.130532","3.155512","3.167922","3.218382","3.145116","3.191164","3.117463","3.160037","3.126079","3.132343","3.110299","3.044348","3.141197","3.094683","3.190216","3.125748","3.156968","3.171288","3.140543","3.163744","3.121114","3.203898","3.193057","3.052542","3.113302","3.093162","3.113302","3.092993","3.198567","3.161650","3.098897","3.113469"
"A0A0C4DH25","3.026229","2.972119","3.042774","3.063969","3.014319","3.025520","2.943909","3.046445","3.028351","3.053758","3.048189","3.061380","3.036811","3.090964","3.152271","3.050802","3.047317","3.025343","3.017884","3.018596","2.982557","3.023925","3.041373","3.111635","3.060343","3.034701","3.061380","3.036987","3.015924","2.958269","3.024989","3.043824","2.961975","3.079237","3.133986","3.073423","3.032059","3.061034","3.071194","3.052368","3.107122","3.002670","3.080601","3.086216","3.097044","3.055494","3.121943","3.081283","3.029058"
"A0A0C4DH34","3.138088","2.994912","3.156645","3.101420","3.123764","3.106285","3.078896","3.035053","3.087744","3.116798","3.031882","3.107290","3.097381","2.921052","3.136121","3.057747","3.171128","3.148372","3.153406","3.027998","3.132178","3.128390","3.142341","3.049583","3.084347","3.075820","3.156321","3.116798","3.138252","3.086556","3.043824","3.074280","3.049758","3.202489","3.204055","3.104945","3.041373","3.057054","3.123268","3.166638","3.097550","3.168724","3.026406","3.100412","3.069134","3.089270","3.068618","3.078042","3.074451"
"A0A0C4DH38","3.065520","3.055320","3.020730","3.019842","3.038743","3.075478","3.101588","3.079408","3.061553","3.133000","3.107457","3.079408","3.008775","3.010745","3.078725","3.097381","3.085027","3.114635","3.082476","3.097213","3.053063","3.059824","3.089270","3.037514","3.051498","3.096033","3.017706","3.069477","3.066209","3.081965","3.004468","3.093162","3.056881","3.090794","3.128060","3.052542","3.050454","3.080260","3.043649","3.138743","3.028882","3.093500","3.076846","3.014319","3.049758","3.156645","3.090286","3.061553","3.110800"
"A0A0C4DH68","3.106620","3.069477","3.067758","3.126574","3.067070","3.091133","3.080431","3.059478","3.027467","3.140216","3.076846","3.060861","3.003929","3.020197","3.102092","3.063624","3.128884","3.106955","3.066554","3.087235","3.128225","3.084177","3.122771","3.042249","3.134644","3.140053","3.104777","3.043474","3.049932","3.049409","2.988566","3.099739","2.966964","3.085367","3.128060","3.108294","3.048887","3.033821","2.996900","3.219931","3.044174","3.044523","2.983469","2.999247","3.100412","3.155998","3.012354","3.128555","3.156159"
"A2NJV5","3.204368","3.224876","3.283525","3.230573","3.300752","3.230419","3.243728","3.218692","3.216987","3.251624","3.266089","3.279223","3.209210","3.270430","3.316908","3.251472","3.272820","3.223796","3.186894","3.180226","3.259929","3.200607","3.241594","3.275206","3.238847","3.250563","3.254045","3.188477","3.192269","3.181181","3.180226","3.206401","3.150161","3.262637","3.259176","3.195421","3.137924","3.220550","3.285449","3.273864","3.255405","3.262787","3.245097","3.264289","3.169526","3.293415","3.267138","3.249806","3.228266"
