"to","from","UNIPROT","X1","X2","t.stat","p.value","X.log10.p.","FDR","Fold.Change","log2.FC.","Gene.Names..primary.","combined_score","Genes.interacting"
"ENSP00000205948","ENSP00000170150","Q8N4F0",3.350563,3.361484,-1.0017,0.32159,0.49269,0.61256,0.99256,-0.010774,"BPIFB2",252,"APOH"
"ENSP00000211998","ENSP00000167586","P02533",2.992106,2.923406,4.2188,0.00011112,3.9542,0.0035071,1.0487,0.068581,"KRT14",289,"VCL"
"ENSP00000218388","ENSP00000211998","P18206",3.050338,3.031997,0.81671,0.41821,0.3786,0.70184,1.013,0.018615,"VCL",248,"TIMP1"
"ENSP00000218388","ENSP00000215754","P14174",3.084083,3.048941,1.6687,0.10183,0.99212,0.31981,1.0253,0.036097,"MIF",403,"TIMP1"
"ENSP00000218388","ENSP00000053867","P28799",3.122124,3.075215,2.392,0.020811,1.6817,0.1469,1.0336,0.04768,"GRN",221,"TIMP1"
"ENSP00000219150","ENSP00000211998","P18206",3.050338,3.031997,0.81671,0.41821,0.3786,0.70184,1.013,0.018615,"VCL",245,"CORO1A"
"ENSP00000223642","ENSP00000205948","P02749",3.066509,3.095182,-1.3543,0.1821,0.73968,0.43272,0.9801,-0.028995,"APOH",428,"C5"
"ENSP00000225275","ENSP00000218388","P01033",3.218018,3.212731,0.32812,0.74428,0.12827,0.89572,1.0041,0.0058328,"TIMP1",515,"MPO"
"ENSP00000225275","ENSP00000008938","O75594",3.083089,3.085625,-0.12051,0.90459,0.043547,0.96573,0.9984,-0.0023152,"PGLYRP1",676,"MPO"
"ENSP00000225275","ENSP00000223642","P01031",2.967638,2.948248,0.60828,0.54593,0.26286,0.78457,1.0149,0.021324,"C5",319,"MPO"
"ENSP00000225275","ENSP00000205948","P02749",3.066509,3.095182,-1.3543,0.1821,0.73968,0.43272,0.9801,-0.028995,"APOH",431,"MPO"
"ENSP00000225275","ENSP00000219150","P31146",3.065126,3.078917,-0.56302,0.57609,0.23951,0.80075,0.99057,-0.013663,"CORO1A",204,"MPO"
"ENSP00000225275","ENSP00000215754","P14174",3.084083,3.048941,1.6687,0.10183,0.99212,0.31981,1.0253,0.036097,"MIF",373,"MPO"
"ENSP00000225275","ENSP00000216392","P06737",3.050123,3.062439,-0.56138,0.57721,0.23867,0.80075,0.99181,-0.011862,"PYGL",221,"MPO"
"ENSP00000225655","ENSP00000215754","P14174",3.084083,3.048941,1.6687,0.10183,0.99212,0.31981,1.0253,0.036097,"MIF",511,"PFN1"
"ENSP00000225655","ENSP00000219169","P61970",2.980312,2.961738,1.0972,0.27813,0.55576,0.56568,1.0132,0.018958,"NUTF2",276,"PFN1"
"ENSP00000225655","ENSP00000219150","P31146",3.065126,3.078917,-0.56302,0.57609,0.23951,0.80075,0.99057,-0.013663,"CORO1A",499,"PFN1"
"ENSP00000225655","ENSP00000225275","P05164",3.154946,3.064287,2.8012,0.0073687,2.1326,0.068019,1.0655,0.091592,"MPO",206,"PFN1"
"ENSP00000225655","ENSP00000211998","P18206",3.050338,3.031997,0.81671,0.41821,0.3786,0.70184,1.013,0.018615,"VCL",978,"PFN1"
"ENSP00000225655","ENSP00000053867","P28799",3.122124,3.075215,2.392,0.020811,1.6817,0.1469,1.0336,0.04768,"GRN",370,"PFN1"
"ENSP00000227266","ENSP00000225655","P07737",3.195025,3.253813,-3.1931,0.0025124,2.5999,0.035469,0.9604,-0.058296,"PFN1",278,"CTSC"
"ENSP00000227266","ENSP00000218388","P01033",3.218018,3.212731,0.32812,0.74428,0.12827,0.89572,1.0041,0.0058328,"TIMP1",243,"CTSC"
